Summary :
	C	Count	Total
	-	-----	-----
	1	    1	    1
	2	   75	   76
	3	   32	   33
	4	  132	  208
	6	   96	  204
	8	   48	  256

Schema :
	N	P 	Xor PermutationInt64
	-	--	--------------------
	0	 1	0000 0000  0000 0000
 321	EF67 CD45  AB23 8901	6	E 0312	E 0231	3x2
 322	ECA8 FDB9  6420 7531	6	E 1203	B 2013	3x2
 323	EC64 A820  FD75 B931	6	E 1320	7 3021	3x2
 324	EAFB C8D9  6273 4051	6	E 2013	D 1203	3x2
 325	EAC8 6240  FBD9 7351	6	E 2130	7 3102	3x2
 326	E6F7 A2B3  C4D5 8091	6	E 3021	D 1320	3x2
 327	E6C4 F7D5  A280 B391	6	E 3102	B 2130	3x2
 328	FEBA 7632  DC98 5410	6	F 0231	F 0312	3x2
 329	FE76 DC54  BA32 9810	6	F 0312	F 0231	3x2
 330	FDB9 ECA8  7531 6420	6	F 1203	F 2013	3x2
 331	FD75 B931  EC64 A820	6	F 1320	F 3021	3x2
 332	FBEA D9C8  7362 5140	6	F 2013	F 1203	3x2
 333	FBD9 7351  EAC8 6240	6	F 2130	F 3102	3x2
 334	F7E6 B3A2  D5C4 9180	6	F 3021	F 1320	3x2
 335	F7D5 E6C4  B391 A280	6	F 3102	F 2130	3x2
    	                    	 	      	      	   
 336	1357 9BDF  0246 8ACE	8	1 1230	8 3012	4x2
 337	139B 028A  57DF 46CE	8	1 1302	4 2031	4x2
 338	1504 9D8C  3726 BFAE	8	1 2031	2 1302	4x2
 339	159D 37BF  048C 26AE	8	1 2310	8 3201	4x2
 340	1908 3B2A  5D4C 7F6E	8	1 3012	2 1230	4x2
 341	195D 084C  3B7F 2A6E	8	1 3201	4 2310	4x2
 342	2064 A8EC  3175 B9FD	8	2 1230	1 3012	4x2
 343	20A8 31B9  64EC 75FD	8	2 1302	1 2031	4x2
 344	2637 AEBF  0415 8C9D	8	2 2031	8 1302	4x2
 345	26AE 048C  37BF 159D	8	2 2310	4 3201	4x2
 346	2A3B 0819  6E7F 4C5D	8	2 3012	4 1230	4x2
 347	2A6E 3B7F  084C 195D	8	2 3201	8 2310	4x2
 348	4602 CE8A  5713 DF9B	8	4 1230	2 3012	4x2
 349	46CE 57DF  028A 139B	8	4 1302	8 2031	4x2
 350	4051 C8D9  6273 EAFB	8	4 2031	1 1302	4x2
 351	40C8 62EA  51D9 73FB	8	4 2310	1 3201	4x2
 352	4C5D 6E7F  0819 2A3B	8	4 3012	8 1230	4x2
 353	4C08 5D19  6E2A 7F3B	8	4 3201	2 2310	4x2
 354	7531 FDB9  6420 ECA8	8	7 1230	B 3012	4x2
 355	75FD 64EC  31B9 20A8	8	7 1302	D 2031	4x2
 356	7362 FBEA  5140 D9C8	8	7 2031	B 1302	4x2
 357	73FB 51D9  62EA 40C8	8	7 2310	D 3201	4x2
 358	7F6E 5D4C  3B2A 1908	8	7 3012	E 1230	4x2
 359	7F3B 6E2A  5D19 4C08	8	7 3201	E 2310	4x2
 360	8ACE 0246  9BDF 1357	8	8 1230	4 3012	4x2
 361	8A02 9B13  CE46 DF57	8	8 1302	2 2031	4x2
 362	8C9D 0415  AEBF 2637	8	8 2031	4 1302	4x2
 363	8C04 AE26  9D15 BF37	8	8 2310	2 3201	4x2
 364	8091 A2B3  C4D5 E6F7	8	8 3012	1 1230	4x2
 365	80C4 91D5  A2E6 B3F7	8	8 3201	1 2310	4x2
 366	B9FD 3175  A8EC 2064	8	B 1230	D 3012	4x2
 367	B931 A820  FD75 EC64	8	B 1302	7 2031	4x2
 368	BFAE 3726  9D8C 1504	8	B 2031	E 1302	4x2
 369	BF37 9D15  AE26 8C04	8	B 2310	E 3201	4x2
 370	B3A2 9180  F7E6 D5C4	8	B 3012	7 1230	4x2
 371	B3F7 A2E6  91D5 80C4	8	B 3201	D 2310	4x2
 372	DF9B 5713  CE8A 4602	8	D 1230	E 3012	4x2
 373	DF57 CE46  9B13 8A02	8	D 1302	E 2031	4x2
 374	D9C8 5140  FBEA 7362	8	D 2031	7 1302	4x2
 375	D951 FB73  C840 EA62	8	D 2310	B 3201	4x2
 376	D5C4 F7E6  9180 B3A2	8	D 3012	B 1230	4x2
 377	D591 C480  F7B3 E6A2	8	D 3201	7 2310	4x2
